EventId,EventTemplate,Occurrences
1ca4cfde,userEffectiveSoftwareConfigFeatureAutoEnablementService feature.user.effective.software.config.data.auto.enablement hasn been enabled,1
71a4b63b,"userEffectiveSoftwareConfigFeatureAutoEnablementService feature: feature.user.effective.software.config.data.enabled has been enabled, no further process required",1
aef57d19,"appleMdmCommandTrackingFeatureAutoEnablementService feature: feature.ios.command.tracking has been enabled, no further process required",1
16ab15d9,Enhanced Auditing disabled not registering HibernateEventListeners.,1
1923529e,"SecurityAuditSyslogExport: syslog export not enabled, no scheduler queued.",1
7833c7db,pollInterval:86400,1
30dab30a,deviceGroupFeatureAutoEnablementService feature.devicegroup.auto.enablement hasn been enabled,1
97a3e7a1,"deviceGroupFeatureAutoEnablementService feature: feature.devicegroup.device.data.enabled has been enabled, no further process required",1
c4c7de5f,creating SSLHostConfig for connector on port <*>,14
1f70904d,looked up cert key store <*> and setting it for port <*>,14
da4fc7b3,finished setting up sslHostConfig for port,14
d6408df2,finished connector creation for port,18
685b0d86,Added Core connector <*> on <*>,18
91be5ef0,UosServiceOsidRegistrationService: skipping dynamic service osid registration,1
10b7c44f,Netty handler to APNS for mdm - connection Netty client Bootstrap options returns <*>,1
99c29175,SecurityProviderManager: delegating security provider setup to core,1
baad23b2,about to create apns<*>,1
f61efb07,created apns<*>,1
0b657d58,Created certificate request:<certificateRequest><publicKey><algorithm>RSA</algorithm><key>MIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAyp6qviv0+2DsdUJlUGkuXPaLrr65bSwvIcoetSrlNk1<*>Dl4YOdp8PuvaAQOwvjxTCe6r8IIRFFRjJbvHUryKUzR8LryFt0CDpanNa77pMg5G0rtRd2ujLpvP3yjev1260bkioQCF2okTPPHXBEWxC/JJmJaVSbgqNbB/nU7WR8IbJFP1/UYHKvPLdGWEFXaMZCpSQARCQLcv1c3pXLuksd+gm043hJw+cVQxLfxvDM/cQ9YrJwuXV5PUce<*>GZ7cYdp1AFSmrPptvgCA1XBf0nvAd21y3yaAyfe1mTauPG/ZVRLlyhzvT9puZwRxgujtDWzEJ5aoT4v/6LF+Jy40oElA/dlEeWi<*>BTKa67uLXGyomNm8/iELc0Zp1C4DK/Wu4J1p5AmhL4HAVIQ66xP9bqgD64IcEPDobOJeR5LYMc0bSsgUknnDbWT/D8qc330x+M25O5YMNxCH4mGcCgHheQ7VU+rKaNvbJ7csvASmtZhAMPBDqYiyvVQrKMwNJFYtNUzU9LtFJonEZ91u624kwBu/7rGQqFfxhdC9XXXTTlCGEn8PCPFhugNnOdCnhlRUbonOFB+IlwiepQ1LZfprGGhMPIJ8GdobbmegTTe8Ewv9Yqoq+81AW4uNpEYu+o4YLy3TKig0OWgRKjD0HdJPeLFqM/38wQ6M7idWQsdmECAwEAAQ==</key></publicKey><subject><Country>CA</Country><Organization>BlackBerry Limited</Organization><CommonName>BlackBerry Root MDM Verification</CommonName></subject></certificateRequest>,1
ec100eef,Setting <*> for <*>,2
44e3e45e,schedule(): SystemGeneratedGlobalProfilesService.,1
fa41bebb,Initialized <*>,4
ea5c2148,setting transaction isolation level set to READ_COMMITTED,1
8e0e9278,Creating filter chain:<*>,3
da51ef8c,Adding mapping of URI regex ^/apple-touch-icon.*.png to return <*>,1
ffae0dd7,configured to drop mismatching paths = true,1
d7e2bf24,Adding namespace authorization for <*> -> <*>,23
ef3fd66c,Encountered event listener [com.rim.platform.mdm.snapin.manager.lifecycle.SnapinDBStatusChangeService] for post-commit event <*> which did not implement the corresponding extended listener contract <*>,2
b30b465d,Registering beans for JMX exposure on startup,2
30bd2006,Bean with name <*> has been autodetected for JMX exposure,235
8f677c30,Located managed bean <*> registering with JMX server as MBean <*>,234
88d84c2e,Bean with key <*> has been registered as an MBean but has no exposed attributes or operations,4
6b8a1681,"Located MBean 'jmxEventBroadcaster': registering with JMX server as MBean [BES-NG:comp=Core,subcomp_0=Services,name=EventingService]",1
7b984cbe,RESTEASY002227: MediaType <*> on <*> lacks charset. Consider setting charset or turning on context parameter resteasy.add.charset,194
cec12db8,NgService: all containers scheduled to start,1
3d9317b3,NgService: init <*>,3
111c5d86,Refreshing <*> startup date [Mon Jun 08 <*> IDT 2020]; parent: Root WebApplicationContext,11
be6f5885,Unable to proxy interface-implementing method [public final java.lang.Object org.springframework.beans.factory.config.AbstractFactoryBean.getObject() throws java.lang.Exception] because it is marked as final: Consider using interface-based JDK proxies instead!,1
65a05bdf,NgService: init done <*>,3
0c561cf8,start invoked for DeadServerNotificationsUpdateService,1
748579d7,NgService: all containers started,1
ae373499,Starting to graceful shutdown 1 routes (timeout 300 seconds),7
b5a71c42,"-|- [<*>] - INFO Route: <*> shutdown complete, was consuming from: <*>",7
7064fbc1,Graceful shutdown of 1 routes completed in 0 seconds,7
38bd51f4,"Route: <*> is stopped, was consuming from: <*>",7
fe0376bb,"Route: <*> is shutdown and removed, was consuming from: <*>",7
3ff00427,No TaskScheduler/ScheduledExecutorService bean found for scheduled processing,1
3476aaec,handleAppContextInitEvent(): starting beans after receiving contextRefreshedEvent: org.springframework.context.event.ContextRefreshedEvent[source=Root WebApplicationContext: startup date [Mon Jun 08 09:35:16 IDT 2020]; root of context hierarchy],1
22cd0c62,startBeansInOrder(): starting bean <*>,2
1eb2b043,start(): ChannelPinger started.,1
2e864db6,createApplicationEndpoints() - creating ApplicationEndpoints for serviceTypes: [SHARED],1
9efb63b4,"createApplicationEndpoint() - created for serviceType: SHARED, serverGroup: null",1
9a16f759,BcpConnectionInfoProvider.applicationEndpointsCreated() - adding IClientEndpointEventReceiver: com.rim.platform.mdm.core.service.ha.BcpConnectEventNotifier@755c2f18,1
b5b938a1,[SHARED] - start() - starting ApplicantionEndpoint for service.,1
ab9bbb6b,[SHARED] - initiateInitialConnection(): scheduling InitialConnectJob,1
0f8e633a,TcpProxyServer.startService() - starting service <*> = <*>,15
7222bce3,[SHARED] - addLocalService(): added <*> to applicationEndpoint in serverGroup: null,15
1c88eca3,TenantRegistrantRepository.addTenantToCache(): Adding tenantId=<*>,1
bb7b1793,[SHARED] - registerServiceName(): skipping <*> nameSpace=tcpproxy as tenant is not currently registered.,60
ca8c1f9f,TcpProxyServer.startService() - skipping service since it is not enabled. <*> = <*>,2
bf05dc50,"SecurityContextFactory: sslContext provider=SunJSSE version 1.8, protocol=TLS",6
cf43ecfd,"Registering dynamically settable config properties: [com.rim.platform.mdm.core.origin.bdmiEndpointHost, com.rim.platform.mdm.core.origin.bdmiEndpointPort, com.rim.platform.mdm.core.origin.bdmi_bcEndpointHost, com.rim.platform.mdm.core.origin.bdmi_bcEndpointPort, com.rim.platform.mdm.core.origin.enrolEndpointHost, com.rim.platform.mdm.core.origin.enrolEndpointPort, com.rim.platform.mdm.core.origin.enrol_plaintextEndpointHost, com.rim.platform.mdm.core.origin.enrol_plaintextEndpointPort, com.rim.platform.mdm.core.origin.amdmEndpointHost, com.rim.platform.mdm.core.origin.amdmEndpointPort, com.rim.platform.mdm.core.origin.mdmEndpointHost, com.rim.platform.mdm.core.origin.mdmEndpointPort, com.rim.platform.mdm.core.origin.enrol_zedEndpointHost, com.rim.platform.mdm.core.origin.enrol_zedEndpointPort, com.rim.platform.mdm.core.origin.ecEndpointHost, com.rim.platform.mdm.core.origin.ecEndpointPort, com.rim.platform.mdm.core.origin.e2cEndpointHost, com.rim.platform.mdm.core.origin.e2cEndpointPort]",1
bd8ee709,start(): <*>,2
15a3a563,Scheduling security event audit purge of type: securityAuditPurgeDailyService.,1
a9c45f68,NgService marked as <*>,3
c702cce1,"[SHARED] - adapterNodeRegReq=node/p-bes-<*>, adapterNodeRegistrationData=<*>,""usingProxy"":true,""serverGroup"":null,""serviceType"":""SHARED"",""otherBcpHosts"":<*>,""opaque"":null}",1
8359130b,AfW:AfWStoreLayoutGenerator Starting afwPluginServiceContext:afWStoreLayoutGenerator,1
4fe3005a,"AfW:AfWStoreLayoutGenerator Global scheduler[afwPluginServiceContext:afWStoreLayoutGenerator] with Id [11092] found already, not creating",1
56552944,[SHARED] - InitialConnectJob.run(): scheduling of ConnectJob <*>,5
4099972c,"pollIntervalNumber = 900, maxRetriesNumber = 10, maxResultsNumber = 200",1
5406aab5,Added bean <*> to the map from the core starting event,6
339d0daf,SimpleTcpClientConnector: successfully connected to [id: <*> <*> - R:/<*>:3102],5
3e66c68b,Successful async operation <*> time <*> ms,15
1cb1f16e,"DynamicsPurgeContainerService start scheduling task pollingInterval = 86400 , tenantId= 1",1
207bc5b5,About to connect to Actual BCP Host/port <*> through Socks proxy <*>,5
9a0c0b21,"SecurityContextFactory: sslEngine protocols=[TLSv1, TLSv1.1, TLSv1.2], ciphers=[TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_256_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA]",5
ead03301,"TlsHandshaker: TLS successful with server; channel:[id: <*> <*> - R:/<*>:3102], serverIpEndpoint:<*>",5
eec9db74,"[SHARED] - Successfully established connection with BCP Server <*> using proxy (server=<*>, type=SOCK<*>_NOAUTH); time <*> ms for connection ConnectionInfo <*> [SHARED] [channelRef=null, isConnectPending=true, closePending=false, connectFailureStreak=0, lastConnectAttemptedAt=Mon Jun 08 <*> IDT 2020, lastConnectedAt=null, lastDisconnectedAt=null, exceptionInLastConnectAttempt=null, remoteNodeId=null]",5
6a781c91,started DynamicsService CoreStartedEvent,1
ffd811c9,Starting Core Dynamics ...,1
c8b7db25,Dynamics Kerberos service - starting ...,1
15334da0,handleCmpCertificateUpdate,1
9bb990fa,java.security.krb5.realm = AD.BOI.GOV.IL,1
125b8130,java.security.krb5.kdcm = ad.boi.gov.il,1
7beeef1d,<*> = true,2
99f18d21,principalName = bb_kerberos_svc,1
e3f458ee,keyTabFile = c:/keytab/kcd.keytab,1
b5e55d7d,Subject provided credential item that is not an instance of KerberosTicket,1
dc00a711,Starting server in Secure Mode,1
70bf200e,[DEPTurnFeatureOnService] turning ON the feature to support Multiple accounts in Apple DEP,1
6e87b97a,[ConsolidateAppStoreVariantsService] specific onVersionChanged to 1.0.0,1
